OBJECTID;CID;blue;green;red;nir;swir;GT
64;1;761;1064;1406;2258;3295;0
65;1;176;317;343;1206;641;1
66;1;336;473;709;1456;2091;1
67;1;229;388;647;1144;1208;1
68;1;698;960;1340;2030;3443;0
69;1;368;593;726;2166;1889;0
70;1;592;987;1372;2380;3993;0
71;1;723;956;1252;2084;3374;0
72;1;708;680;721;1832;867;1
73;1;232;353;346;1406;911;1
74;1;1064;1390;1638;2260;2024;0
75;1;305;451;675;998;1749;1
76;1;218;483;529;1834;1363;0
77;1;211;367;544;1354;1474;1
78;1;313;507;653;1466;1271;1
79;1;316;455;606;1410;969;1
80;1;459;669;838;1854;2158;0
81;1;115;295;408;731;860;0
82;1;1368;1582;1798;2100;2351;0
83;1;232;388;588;1048;1320;1
84;1;818;664;661;1614;1082;0
85;1;554;813;1064;1802;2495;0
86;1;323;495;641;1486;1464;0
87;1;293;465;567;1572;1415;1
88;1;222;397;719;1144;1430;1
89;1;295;506;637;1612;1989;0
90;1;850;1276;1704;2600;3397;0
91;1;832;1242;1628;2618;3777;0
92;1;585;857;1088;2032;2976;1
93;1;327;487;653;1510;1507;0
94;1;231;386;428;1368;1136;1
95;1;915;1272;1664;2586;2760;0
96;1;250;497;499;1880;1573;0
97;1;218;402;443;1642;1128;0
98;1;234;445;497;1680;1171;1
99;1;533;731;945;1808;1719;0
100;1;1194;1378;1572;1700;1901;0
101;1;463;723;931;2024;2715;0
102;1;196;312;407;1204;1034;1
103;1;249;384;562;1088;1257;1
104;1;138;270;300;1130;873;1
105;1;192;403;461;1382;1237;1
106;1;180;357;425;1574;1317;0
107;1;263;479;505;1758;1309;0
108;1;234;350;564;1012;1160;1
109;1;278;441;678;1584;1360;1
110;1;290;393;512;1190;1066;1
111;1;337;397;437;1322;805;1
112;1;750;1184;1166;2044;2011;0
113;1;152;265;364;1140;1013;1
114;1;714;996;1260;2244;3164;0
115;1;763;1016;1296;1952;2972;0
116;1;182;339;446;1040;1124;1
117;1;413;591;699;1736;1577;1
118;1;1036;1054;1290;2264;3362;0
119;1;190;364;481;1168;1029;1
120;1;743;1016;1338;2260;3239;0
121;1;465;832;894;2806;2452;0
122;1;317;516;673;1198;1125;1
123;1;202;383;440;1592;1164;0
124;1;203;326;459;1300;1183;1
125;1;246;445;494;1610;1234;0
126;1;220;387;401;1642;896;1
127;1;211;377;472;1422;910;1
128;1;220;356;444;1286;1116;1
129;1;908;1232;1606;2286;2245;0
130;1;514;789;1170;1632;3456;0
131;1;316;558;658;1938;1360;1
132;1;267;518;801;1216;1411;1
133;1;1204;1418;1578;1660;2016;0
134;1;344;709;972;1934;2085;0
135;1;558;789;1064;1630;2855;0
136;1;151;258;404;1196;1051;1
137;1;1070;1464;1714;1906;2519;0
138;1;1160;1320;1466;1644;2011;0
139;1;708;949;1252;2024;3300;0
140;1;271;481;503;1790;1106;1
141;1;657;908;1144;2218;3109;0
142;1;607;881;1318;2244;4033;0
143;1;1178;1334;1628;2648;3368;0
144;1;2036;2288;2584;2744;1857;0
145;1;388;521;605;1302;2230;0
146;1;207;342;469;865;1024;0
147;1;764;979;1268;2050;3216;0
148;1;223;371;567;1056;1239;1
149;1;1394;1694;1896;2112;2632;0
150;1;246;468;508;1720;1349;1
151;1;168;297;310;1238;846;1
152;1;577;847;1108;1946;3185;0
153;1;216;375;465;1110;1196;1
154;1;1126;1468;1910;2604;3274;0
155;1;226;346;467;1190;1211;1
156;1;569;828;1110;1884;2469;0
157;1;159;321;444;1194;1136;1
158;1;730;1021;1350;1876;1902;0
159;1;563;879;1090;1978;2401;0
160;1;698;999;1332;2014;3802;0
161;1;240;343;566;1116;1395;1
162;1;142;387;529;1964;1113;0
163;1;333;552;738;1524;1489;1
164;1;210;334;450;1148;1189;1
165;1;62;152;236;526;434;1
166;1;269;423;529;1544;1208;1
167;1;592;908;1322;2174;3757;0
168;1;698;984;1350;2192;3686;0
169;1;693;955;1252;2186;3289;0
170;1;375;549;813;1698;1454;1
171;1;281;439;469;1498;1314;1
172;1;242;413;682;1054;1716;1
173;1;226;362;426;1648;917;0
174;1;183;316;426;1188;899;1
175;1;386;626;636;2288;1316;1
176;1;252;436;540;1616;1343;0
177;1;192;272;413;1058;1129;1
178;1;231;398;453;1450;1165;1
179;1;204;337;547;1017;962;1
180;1;2502;2788;2556;3472;3148;0
181;1;603;955;1388;2186;4257;0
182;1;496;575;725;1580;1575;1
183;1;887;1222;1620;2454;4105;0
184;1;346;479;638;1228;1296;1
185;1;215;430;557;1662;970;1
186;1;305;469;713;1362;1796;1
187;1;684;946;1230;2036;3380;0
188;1;1180;1164;1378;2242;2900;0
189;1;782;691;832;2490;1971;0
190;1;211;489;600;1826;1611;0
191;1;153;350;453;1400;1484;0
192;1;216;339;509;1194;1012;1
193;1;316;547;814;1328;1784;1
194;1;145;393;258;1836;729;1
195;1;277;488;537;1842;1189;1
196;1;220;432;483;1698;1106;0
197;1;212;401;469;1730;1382;0
198;1;408;592;873;1768;1505;1
199;1;301;441;573;1256;1511;0
200;1;1258;1652;2104;2590;2888;0
201;1;624;979;1274;2452;3441;0
202;1;265;474;606;1460;1014;1
203;1;2142;1808;1844;2878;2723;0
204;1;691;1003;1296;1948;2442;0
205;1;280;431;585;1276;1134;1
206;1;223;394;565;1380;1072;1
207;1;208;347;586;1122;920;1
208;1;417;575;881;1388;1850;1
209;1;220;423;463;1254;1051;1
210;1;194;401;529;1758;1237;0
211;1;164;336;358;1490;832;1
212;1;243;360;504;1288;992;1
213;1;1068;1578;1692;2238;3032;0
214;1;234;394;435;1242;766;1
215;1;145;321;348;1210;878;1
216;1;850;996;1252;2158;3014;0
217;1;199;410;418;1990;1057;0
218;1;1024;1532;2104;2644;3151;0
219;1;182;321;449;1034;922;1
220;1;446;653;914;2096;2417;0
221;1;228;372;494;1582;1402;0
222;1;591;854;904;1806;2163;0
223;1;662;954;1378;2464;3239;0
224;1;214;368;430;1394;1218;1
225;1;230;461;529;1896;1245;1
226;1;566;917;1074;2354;3086;0
227;1;608;1003;1330;1898;3068;0
228;1;260;517;435;1630;969;1
229;1;137;302;373;1246;989;1
230;1;203;321;427;1058;967;1
231;1;397;527;608;1052;1066;0
232;1;1986;2266;2566;3142;3764;0
233;1;1306;1456;1664;1848;2507;0
234;1;204;383;414;1540;949;1
235;1;296;491;599;1692;1391;0
236;1;148;380;392;1566;1149;0
237;1;521;755;844;2336;1681;1
238;1;182;373;490;1576;1179;1
239;1;828;1232;1730;2472;2913;0
240;1;569;836;1110;2160;2972;1
241;1;185;397;465;1596;811;1
242;1;143;272;430;892;1088;1
243;1;243;460;494;1772;1078;0
244;1;477;758;1104;2016;2551;0
245;1;2008;2026;1540;3002;1782;0
246;1;1208;1428;1632;1848;2455;0
247;1;942;1110;1324;2142;2283;0
248;1;173;336;370;1378;1028;1
249;1;536;861;1146;1954;3273;0
250;1;365;544;751;1632;1715;1
251;1;936;965;1374;2382;2928;0
252;1;652;905;1186;2196;3160;0
253;1;696;1020;1422;2204;3336;0
254;1;297;485;562;1550;1454;0
255;1;466;782;905;2342;2723;0
256;1;683;1094;1394;2468;2468;0
257;1;810;1038;1454;2254;2901;0
258;1;339;539;629;1792;1501;0
259;1;491;599;746;1360;1068;0
260;1;300;522;658;1724;1665;0
261;1;182;368;386;1718;840;1
262;1;659;1054;1262;2378;3573;0
263;1;135;296;298;1178;992;1
264;1;140;276;359;1110;899;1
265;1;721;978;1288;2114;3226;0
266;1;577;787;1144;1816;2686;0
267;1;267;405;653;1108;1373;1
268;1;274;474;630;1716;1070;1
269;1;174;375;349;1670;686;1
270;1;280;441;518;1620;1237;0
271;1;621;930;1160;1866;2492;0
272;1;275;437;622;1324;1193;1
273;1;347;520;586;1710;1295;0
274;1;123;273;291;1286;850;1
275;1;332;537;632;1828;1481;0
276;1;464;612;756;1792;1610;1
277;1;169;324;406;1126;1014;1
278;1;558;808;1106;1990;2852;0
279;1;243;399;540;1148;861;0
280;1;336;477;546;1664;1445;1
281;1;342;502;615;1672;1476;1
282;1;312;404;525;1208;1052;1
283;1;179;356;409;1646;1422;0
284;1;576;1004;935;3414;1820;0
285;1;153;279;367;1266;896;1
286;1;1270;1588;1676;2286;2668;0
287;1;266;458;482;1886;1213;0
288;1;104;332;393;1908;1214;0
289;1;2078;1968;1746;2902;1986;0
290;1;121;180;199;1094;913;0
291;1;894;1160;1266;1450;1874;0
292;1;1022;1352;1630;2068;2508;0
293;1;171;248;275;810;799;1
294;1;213;393;408;1866;906;0
295;1;331;532;655;1644;1556;0
296;1;374;689;852;2156;2717;0
297;1;254;484;522;1854;1273;0
298;1;227;442;598;1716;1750;0
299;1;421;597;763;1802;1833;0
300;1;305;619;1250;1792;2939;0
301;1;219;339;447;1304;1024;1
302;1;288;495;779;1400;1307;1
303;1;1066;1422;1624;2518;2552;0
304;1;410;504;564;646;1255;0
305;1;882;1178;1526;2282;3805;0
306;1;159;341;333;1722;817;1
307;1;314;503;607;1688;1587;0
308;1;180;302;399;1066;932;1
309;1;207;404;459;1562;1362;0
310;1;177;315;397;1434;853;1
311;1;406;677;912;1884;1804;1
312;1;187;341;445;1216;922;1
313;1;316;456;679;1232;1553;1
314;1;289;465;577;1368;1488;1
315;1;282;546;651;1934;1575;0
316;1;829;1030;1312;2062;3690;0
317;1;51;210;233;631;531;0
318;1;221;379;511;1310;1124;1
319;1;160;387;396;1276;920;1
320;1;362;595;832;1704;2635;0
321;1;304;547;634;2058;1387;0
322;1;102;180;258;384;431;0
323;1;204;379;441;1272;1203;1
324;1;540;918;1062;2338;2415;0
325;1;266;348;514;1292;1235;1
326;1;132;262;362;1248;981;1
327;1;93;190;224;1084;527;1
328;1;438;626;513;1880;882;1
329;1;846;1208;1490;1886;1440;0
330;1;720;1010;1310;2208;3163;0
331;1;220;376;593;979;1385;1
332;1;616;910;1264;2248;3353;0
333;1;629;912;1192;2110;3021;0
334;1;225;342;433;554;825;0
335;1;505;730;886;2326;2595;0
336;1;227;456;512;1824;1284;0
337;1;402;611;819;1986;1964;0
338;1;1490;1568;1572;2632;2796;0
339;1;966;1274;1720;2520;3910;0
340;1;653;890;1114;2116;3502;0
341;1;266;466;560;1462;1364;1
342;1;698;1180;1460;2114;3558;0
343;1;712;996;1344;2078;3953;0
344;1;925;1234;1706;2230;2028;0
345;1;312;676;595;2684;1881;0
346;1;613;941;1050;2070;1514;0
347;1;750;1023;1432;2286;3944;0
348;1;667;893;1186;1954;2816;0
349;1;180;359;446;1876;1240;0
350;1;299;462;542;1474;1340;1
351;1;117;205;304;787;964;1
352;1;702;1016;1416;2246;3251;0
353;1;309;521;807;1412;1422;1
354;1;199;350;489;1338;968;1
355;1;431;624;752;1740;940;1
356;1;1444;1100;1248;2148;2038;0
357;1;672;1040;1344;2032;2521;0
358;1;276;422;536;1286;1364;1
359;1;332;497;664;1770;1948;0
360;1;624;835;1192;1704;2768;0
361;1;412;630;777;1726;2301;0
362;1;167;304;403;1064;1065;1
363;1;957;1478;1638;1942;2202;0
364;1;344;501;708;1198;1349;1
365;1;367;541;837;1434;2087;0
366;1;280;481;558;1366;1291;1
367;1;473;658;927;1854;2934;0
368;1;336;491;659;1252;2111;0
369;1;267;497;448;1766;1119;1
370;1;1764;1920;2242;2774;2898;1
371;1;155;312;374;1198;1144;1
372;1;662;991;1312;2308;3690;0
373;1;210;357;505;1242;1352;1
374;1;299;505;561;1670;1203;0
375;1;309;449;540;1596;1418;0
376;1;386;618;761;1300;1675;0
377;1;207;332;472;1180;1124;1
378;1;234;375;442;1372;1043;1
379;1;425;717;957;2088;3042;0
380;1;161;332;498;1350;960;1
381;1;719;934;1252;2094;3269;0
382;1;1328;1876;2110;2408;2594;0
383;1;117;255;392;1096;1218;1
384;1;346;570;733;1898;1907;0
385;1;599;866;1222;1852;2763;1
386;1;379;586;683;1706;2044;0
387;1;171;351;375;1450;910;1
388;1;230;431;472;1670;1295;0
389;1;537;875;1242;2188;2352;0
390;1;506;752;937;1866;2821;0
391;1;205;406;490;1656;1165;1
392;1;262;461;484;1854;1219;0
393;1;787;1306;1336;2266;2809;0
394;1;221;386;468;1110;1477;0
395;1;216;367;530;1376;1122;1
396;1;244;389;672;1216;1359;1
397;1;905;1212;1440;1764;2127;0
398;1;209;368;397;1574;1099;0
399;1;552;872;1104;2308;2779;0
400;1;217;414;458;1760;1100;0
401;1;128;304;466;1288;1351;1
402;1;367;584;831;1864;1468;1
403;1;226;356;459;1238;1030;1
404;1;239;388;472;1490;1072;1
405;1;209;376;462;1680;922;1
406;1;262;488;692;1142;1732;0
407;1;714;998;1272;2166;3506;0
408;1;780;841;783;1874;1093;1
409;1;167;374;356;1512;812;1
410;1;267;443;584;1428;1187;1
411;1;986;1112;1462;2194;2942;0
412;1;374;550;664;1860;1466;1
413;1;513;991;1256;2082;2444;0
414;1;304;495;555;1760;1271;0
415;1;246;488;648;1478;1713;0
416;1;333;480;637;1554;1369;1
417;1;276;447;550;1524;1191;1
418;1;107;267;378;915;980;1
419;1;371;561;664;1424;1271;0
420;1;600;801;1098;1528;2132;0
421;1;1652;1434;1854;2626;3138;0
422;1;223;396;588;1338;1272;1
423;1;242;460;501;1898;1009;1
424;1;225;391;561;1330;1658;0
425;1;171;366;478;1566;964;1
426;1;616;944;1268;2396;3351;0
427;1;1060;1494;2148;2452;3538;0
428;1;238;445;739;1220;1083;1
429;1;117;259;282;1208;705;1
430;1;196;332;412;1150;1173;1
431;1;735;1078;1334;2630;3410;0
432;1;587;838;1120;1684;2829;0
433;1;1058;1394;1840;2686;4389;0
434;1;130;236;298;936;668;1
435;1;712;992;1302;1976;3593;0
436;1;853;1434;1966;2504;3307;0
437;1;935;1250;1702;2494;3825;0
438;1;466;704;952;2066;2023;0
439;1;397;543;824;1546;1467;1
440;1;143;265;364;948;841;1
441;1;192;292;283;867;561;0
442;1;264;524;509;2276;1050;1
443;1;301;453;500;1356;978;1
444;1;169;328;411;1470;817;1
445;1;234;349;413;1092;1119;0
446;1;207;325;414;1150;1285;1
447;1;241;437;583;1570;1312;1
448;1;399;493;567;1442;1308;1
449;1;634;882;1174;1904;2188;0
450;1;235;419;592;1474;1337;1
451;1;635;870;1180;1996;3221;0
452;1;618;958;1362;2348;3961;0
453;1;309;492;710;1564;1467;1
454;1;283;465;401;1344;867;1
455;1;190;364;494;1180;918;1
456;1;206;361;494;1036;1186;1
457;1;242;401;469;1344;990;1
458;1;163;312;423;1100;922;1
459;1;250;422;561;1312;1183;1
460;1;349;501;719;1720;1844;0
461;1;475;683;873;1374;2215;0
462;1;256;386;625;778;1458;0
463;1;533;772;1080;2090;2445;0
464;1;959;1208;1492;1882;2218;0
465;1;185;376;422;1484;1109;1
466;1;290;466;495;2334;1129;1
467;1;235;390;483;1284;1008;1
468;1;148;322;322;1730;749;1
469;1;266;378;642;1124;1384;1
470;1;189;368;472;1534;906;1
471;1;587;834;1124;1794;2674;0
472;1;1026;1316;1790;2600;4385;0
473;1;169;213;310;623;804;1
474;1;389;634;805;1816;2090;0
475;1;177;280;351;1290;824;1
476;1;208;369;532;1176;1047;1
477;1;1366;2214;2754;3160;3949;0
478;1;256;357;494;1078;1030;1
479;1;387;569;866;1628;1432;1
480;1;310;452;620;1354;1465;1
481;1;84;235;325;514;815;0
482;1;178;288;409;1232;910;1
483;1;576;878;1208;1968;2348;0
484;1;208;310;373;1098;1040;1
485;1;144;343;376;1322;911;1
486;1;272;459;729;1318;1156;1
487;1;216;354;515;1386;925;1
488;1;212;302;489;796;812;1
489;1;269;418;574;1264;1275;1
490;1;216;441;518;1548;1043;1
491;1;702;919;1238;2006;3137;0
492;1;201;349;427;1198;912;1
493;1;229;361;656;1148;1217;1
494;1;275;365;415;516;1010;0
495;1;188;372;426;1324;1037;1
496;1;500;702;1140;1338;2941;0
497;1;263;432;609;1478;1814;0
498;1;332;730;583;2910;1602;0
499;1;207;362;484;1484;1466;0
500;1;336;605;925;2068;2089;0
501;1;275;422;512;1172;1256;1
502;1;401;568;624;1414;1145;1
503;1;821;1072;1424;2420;3716;0
504;1;324;493;699;1502;1377;1
505;1;54;129;193;583;342;1
506;1;480;762;897;1980;3365;0
507;1;182;363;441;1544;1243;1
508;1;250;377;554;1484;1173;1
509;1;325;505;706;1466;1070;1
510;1;291;465;692;1334;1165;1
511;1;148;319;389;882;715;1
512;1;551;811;1092;1930;3294;0
513;1;157;298;331;1194;860;1
514;1;688;982;1294;2024;3383;0
515;1;240;405;554;1198;903;1
516;1;238;382;647;1084;1203;1
517;1;604;832;1084;1876;3113;0
518;1;286;445;548;1714;1368;0
519;1;159;239;371;989;1087;1
520;1;390;538;708;1300;1666;1
521;1;725;1072;1446;2380;3718;0
522;1;193;327;451;1438;885;1
523;1;209;371;412;1364;909;1
524;1;174;287;371;1230;1005;1
525;1;179;314;350;1748;815;0
526;1;397;566;650;1656;1717;0
527;1;708;1130;1516;2120;2710;0
528;1;203;359;525;1240;1152;1
529;1;1058;1058;995;2016;1636;0
530;1;912;1262;1638;2270;2948;0
531;1;184;473;343;3134;1590;1
532;1;237;395;556;1368;1132;1
533;1;731;1030;1418;2144;3829;0
534;1;133;252;301;1208;716;1
535;1;198;422;522;1770;1270;0
536;1;206;421;628;1276;1275;1
537;1;271;418;627;1146;1218;1
538;1;159;298;476;1402;959;1
539;1;208;404;432;1626;1036;0
540;1;254;409;518;1554;1058;1
541;1;255;408;466;1422;1075;1
542;1;516;668;876;1074;1532;0
543;1;788;1096;1456;2322;3564;0
544;1;295;462;604;1584;1527;0
545;1;807;1066;1426;2198;3466;0
546;1;285;430;570;1694;1984;0
547;1;224;429;480;1788;931;1
548;1;2120;1898;1776;2886;3097;0
549;1;163;312;415;1204;887;1
550;1;394;580;727;1936;1295;1
551;1;114;290;322;1338;783;1
552;1;207;384;462;1368;1316;1
553;1;605;953;1162;2520;2817;0
554;1;338;550;796;1516;1471;1
555;1;267;477;486;1244;1178;0
556;1;233;438;530;1454;1194;1
557;1;264;411;468;1590;1217;0
558;1;303;461;752;1298;1678;1
559;1;206;449;468;1704;1137;0
560;1;159;295;384;1144;922;1
561;1;360;651;788;2138;2419;0
562;1;456;685;865;1694;2119;0
563;1;190;244;454;727;1197;1
564;1;208;351;386;1306;1075;1
565;1;509;761;1026;2340;1936;0
566;1;342;579;668;1676;1884;0
567;1;685;938;1264;2120;2826;0
568;1;256;419;493;1392;1235;1
569;1;202;321;617;1086;1218;1
570;1;725;1009;1322;2322;3594;0
571;1;300;483;564;1660;1333;0
572;1;484;750;1182;1888;3123;0
573;1;232;390;615;1140;1128;1
574;1;361;675;839;2004;2046;0
575;1;108;281;237;1432;745;1
576;1;53;216;269;1050;793;1
577;1;261;402;597;1266;1328;1
578;1;279;397;609;1266;1028;1
579;1;552;793;1088;1590;2276;1
580;1;221;404;537;1502;1352;0
581;1;702;943;1206;2094;3216;0
582;1;80;286;317;1800;975;0
583;1;250;310;346;1208;921;1
584;1;201;348;367;1240;779;1
585;1;841;1062;1258;1764;2637;0
586;1;184;274;456;932;1155;1
587;1;325;373;441;1528;861;1
588;1;922;1224;1206;2776;2609;0
589;1;203;382;445;1532;1172;1
590;1;350;554;726;1996;2528;0
591;1;855;1120;1500;2264;3659;0
592;1;143;362;271;1620;743;1
593;1;839;1180;1390;1814;2008;0
594;1;224;617;679;1416;1677;0
595;1;276;406;566;1216;1478;1
596;1;252;386;586;1108;1448;1
597;1;639;977;1262;1946;2791;0
598;1;238;431;688;1354;970;1
599;1;278;406;525;1510;1263;1
600;1;286;442;573;1456;1308;1
601;1;166;321;405;1122;1230;1
602;1;1044;1240;1410;2448;3732;0
603;1;488;810;917;1784;2958;0
604;1;191;417;429;2062;897;1
605;1;185;345;376;1444;836;1
606;1;648;870;1172;1814;3071;0
607;1;393;667;832;2092;2598;0
608;1;214;339;578;1096;1474;1
609;1;682;1206;1288;3142;2968;0
610;1;281;426;649;1456;1063;1
611;1;739;659;889;1522;2715;0
612;1;428;714;1148;1994;3242;0
613;1;261;379;506;897;1073;1
614;1;186;311;456;1001;1005;1
615;1;1428;1738;1932;2072;2178;0
616;1;246;381;700;1052;1191;1
617;1;282;419;560;1250;1297;1
618;1;230;493;546;2078;1517;0
619;1;283;426;572;1920;1086;1
620;1;419;563;676;1764;1673;0
621;1;228;364;509;1272;1026;1
622;1;1254;1908;2396;2836;2978;0
623;1;257;384;458;1332;1069;1
624;1;377;561;788;1816;2115;0
625;1;873;1296;1538;2150;3112;0
626;1;199;339;559;1072;1117;1
627;1;735;999;1340;2200;3509;0
628;1;262;392;571;1258;1195;1
629;1;924;1256;1614;2598;3814;0
630;1;196;316;514;867;1246;1
631;1;893;780;753;1666;1146;1
632;1;629;872;1216;1832;2821;0
633;1;465;516;491;1394;1148;1
634;1;966;1246;1444;1584;2188;0
635;1;166;327;404;1336;1179;1
636;1;206;394;562;1344;1030;1
637;1;212;368;413;1330;1000;1
638;1;416;545;822;1304;2503;0
639;1;1306;1686;1864;2026;2118;0
640;1;424;606;864;1620;1980;1
641;1;281;458;473;1482;1261;0
642;1;294;426;542;1422;1403;1
643;1;419;583;735;1190;1848;0
644;1;243;450;583;1440;1204;1
645;1;428;582;626;1694;1563;0
646;1;260;457;558;1608;827;1
647;1;98;236;276;1594;1263;0
648;1;1758;2164;2446;2570;2839;0
649;1;209;518;646;1260;1250;0
650;1;666;864;1076;1930;2418;0
651;1;253;433;504;1820;1185;0
652;1;230;378;560;1290;1471;1
653;1;317;547;735;1648;2676;0
654;1;510;736;929;1678;1846;0
655;1;431;666;872;1838;2137;0
656;1;915;1023;1156;1198;1755;0
657;1;251;412;566;1310;1150;1
658;1;295;472;744;1220;1522;1
659;1;368;564;941;1448;1849;1
660;1;409;545;570;1820;1528;1
661;1;235;440;493;1738;1115;1
662;1;713;1000;1290;2192;3546;0
663;1;233;356;362;1694;913;1
664;1;118;225;311;1110;711;1
665;1;180;412;485;1776;1628;0
666;1;806;1188;1396;1958;1967;0
667;1;683;947;1180;2530;3016;0
668;1;488;721;946;1948;1683;0
669;1;244;403;509;1720;1147;1
670;1;258;390;599;1378;1269;1
671;1;673;810;1124;1992;2132;0
672;1;213;382;456;1356;1101;1
673;1;561;893;1056;2220;2673;0
674;1;319;484;600;1764;1502;0
675;1;116;265;379;1030;873;1
676;1;363;335;568;946;1435;1
677;1;680;1002;1274;2454;3243;0
678;1;675;891;1238;2062;3540;0
679;1;238;379;497;1232;1176;1
680;1;380;510;564;1682;1804;0
681;1;236;395;469;1608;1160;0
682;1;177;269;331;1228;807;1
683;1;1664;1492;1582;2734;2401;0
684;1;608;758;890;1632;1719;1
685;1;183;287;390;1332;929;1
686;1;129;224;360;928;1100;1
687;1;689;970;1492;1964;3269;0
688;1;236;420;546;1496;984;1
689;1;255;379;572;1296;1178;1
690;1;210;290;508;847;1338;1
691;1;520;666;922;1792;3043;0
692;1;215;342;606;1074;985;1
693;1;225;392;505;1484;1109;1
694;1;229;306;374;1130;1048;1
695;1;221;380;430;1388;1153;1
696;1;329;496;703;1776;2146;0
697;1;386;356;377;1236;897;1
698;1;242;396;532;1710;912;1
699;1;245;379;441;1802;1490;0
700;1;248;504;736;1152;1291;1
701;1;123;334;291;1390;498;1
702;1;904;1074;1154;1406;1836;0
703;1;680;988;1362;2136;3795;0
704;1;301;575;644;1758;1313;0
705;1;185;384;482;1620;1191;1
706;1;160;327;424;1188;1037;1
707;1;949;1136;1270;2316;2958;0
708;1;512;815;974;1562;1693;1
709;1;320;477;698;1578;1360;1
710;1;237;462;452;1886;985;1
711;1;200;307;480;1007;1006;1
712;1;302;483;556;1436;1331;0
713;1;540;789;1028;1966;2794;0
714;1;214;359;543;1154;1210;1
715;1;499;926;926;3190;2411;0
716;1;179;288;336;1240;945;1
717;1;282;481;673;1622;1634;1
718;1;235;366;489;1476;856;1
719;1;308;448;674;1554;1154;1
720;1;683;977;1350;2072;3259;0
721;1;226;325;495;819;1349;1
722;1;269;394;623;1082;1225;1
723;1;263;446;600;1394;1587;1
724;1;174;351;454;1592;895;1
725;1;248;438;489;1884;1142;0
726;1;224;441;508;1682;876;1
727;1;122;351;405;1278;1005;1
728;1;169;310;480;1126;995;1
729;1;143;271;402;1052;963;1
730;1;361;538;626;1716;1235;1
731;1;373;387;408;1262;908;1
732;1;728;1052;1358;2166;2939;0
733;1;270;460;575;1526;1406;1
734;1;518;735;1034;1966;2649;0
735;1;361;448;764;1326;1346;1
736;1;227;379;512;1206;1194;1
737;1;239;363;487;1248;1469;1
738;1;433;749;970;1768;2245;0
739;1;203;390;403;1876;1007;0
740;1;255;480;653;1500;1245;1
741;1;487;661;979;1538;1742;1
742;1;178;340;379;1520;1031;1
743;1;354;482;543;1302;1036;1
744;1;644;965;1352;2248;3068;0
745;1;413;634;929;2080;2342;0
746;1;238;388;515;1418;1041;1
747;1;471;797;1144;1494;2889;0
748;1;316;502;767;1400;1370;1
749;1;71;136;134;544;286;1
750;1;651;920;1178;1982;2937;0
751;1;288;442;607;1254;1336;1
752;1;249;382;464;959;1463;1
753;1;1400;1316;1396;2504;1900;1
754;1;218;458;572;1886;1289;0
755;1;589;812;1100;1730;2823;0
756;1;325;526;574;1442;1589;1
757;1;207;371;571;1396;1403;1
758;1;277;488;672;1672;1164;1
759;1;343;641;1088;1760;3113;0
760;1;133;368;318;1774;717;1
761;1;164;314;392;1122;912;1
762;1;170;333;427;1332;926;1
763;1;675;968;1198;2208;2889;0
